pc11_village_id,village_name,state_name,district_name,subdistrict_name,latitude,longitude,ntl_2019,ntl_2020,ntl_2021,ntl_2022,ntl_2023,ntl_2024,ntl_trend_slope,built_2020,built_2021,builtup_change,pop_2019,pop_2020,pop_growth_rate,ndbi_2019,ndbi_2024,ndbi_2020,ndbi_2021,ndbi_2022,ndbi_2023,ndbi_trend_slope,ndvi_2019,ndvi_2024,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_trend_slope,tower_density_2024,tower_growth,dist_city_km,dist_highway_km,ghsl_2015,ghsl_2020,ghsl_change,s1_vv_2019,s1_vv_2024,ntl_growth_pct,ntl_growth_log,ndbi_growth,ndvi_growth,s1_vv_delta,ntl_breakpoint_year,ntl_pre_slope,ntl_post_slope,ntl_acceleration,ntl_growth_log_pct,ntl_growth_log_score,ntl_trend_slope_pct,ntl_trend_slope_score,ntl_2024_pct,ntl_2024_score,ndbi_growth_pct,ndbi_growth_score,ndbi_trend_slope_pct,ndbi_trend_slope_score,ndvi_trend_slope_pct,ndvi_trend_slope_score,ghsl_change_pct,ghsl_change_score,s1_vv_delta_pct,s1_vv_delta_score,tower_growth_pct,tower_growth_score,pop_growth_rate_pct,pop_growth_rate_score,builtup_change_pct,builtup_change_score,ntl_acceleration_pct,ntl_acceleration_score,dist_city_km_pct,dist_city_km_score,dist_highway_km_pct,dist_highway_km_score,ml_growth_prob,ml_growth_prob_score,spatial_lag_score,composite_score,district_rank_pct,multi_signal_confirmed,confidence_score,signals_active,signals_attempted,inter_signal_agreement,rank,shap_top1,shap_top2,shap_top3,archetype_name
8735721831,Village_8735721831,Uttar Pradesh,Aligarh,,27.8273634,78.2175302,3.4234507,2.7429042,2.6260152,3.3447466,11.458335,16.395496,2.620721483230591,1.0,1.0,0.0,13.395564,,,-0.09486552,0.05219439,,,,,,0.20779525,0.31758067,,,,,,0.0,0.0,17.79,137.96,1900.0,4719.0,2819.0,,,378.9172515322041,5.939953469881692,0.14705991,0.10978542,,2023.0,-0.0353001299999999,4.9371610000000015,4.972461130000001,98.34934451462236,93.51737996025396,98.97209985315712,99.08386182866484,97.09321868973691,62.426955087937166,2.98993330148789,80.13853091269326,50.00088459565133,0.0,50.00088459565133,0.0,98.57757019266494,87.49821527230291,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,99.14548060081736,100.0,16.515400810289616,9.145232030337274,65.552960741645,28.899561943482126,99.99714895272112,99.99999770499824,53.91108994549335,79.57907561249739,100.0,True,71.4,10,14,36.1,1,ghsl_change,ndbi_growth,ntl_growth_log,Construction Boom
8735721830,Village_8735721830,Uttar Pradesh,Aligarh,,27.829098,78.2221628,3.0125494,2.4172237,2.3633509,3.054047,7.159562,10.478089,1.4927260330745151,1.0,1.0,0.0,13.98723,,,-0.12665729,0.06417814,,,,,,0.19969496,0.24207255,,,,,,0.0,0.0,18.14,138.17,514.0,3620.0,3106.0,,,247.81467815930256,5.516708354941972,0.19083543,0.0423775899999999,,2022.0,-0.3245992500000001,3.712021,4.03662025,94.13159244909151,78.71591613065515,96.50230879464996,53.06905661326461,93.15499885002563,37.23017804716348,3.113776692673779,89.1525664827341,50.00088459565133,0.0,50.00088459565133,0.0,98.89071705323497,96.40633438658136,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,98.71556711427206,92.1161416724812,17.081542027139395,9.424536673497665,65.61842081984325,28.946534915681283,99.9971491456899,99.99999789797262,55.391236328453225,77.61159560138188,99.50248756218906,True,71.4,10,14,38.1,2,ghsl_change,ndbi_growth,ntl_growth_log,Construction Boom
7200201165,Manjiwala,Rajasthan,Barmer,,25.7784455,72.2440338,0.88628674,0.75759196,5.2401233,3.9129553,8.808753,6.706969,1.4837064402444022,1.0,1.0,0.0,4.348036,,,0.05423129,0.02819239,,,,,,0.2120641,0.26015857,,,,,,0.0,0.0,97.56,544.71,643.0,3658.0,3015.0,,,656.7493337427118,6.4888239069859655,-0.0260389,0.0480944699999999,,2023.0,1.356253702,-2.1017839999999994,-3.4580377019999995,99.63908497425828,100.0,96.46338658599154,52.70111647029467,84.7424942058985,21.17245718496785,1.0968986076464449,44.494891945714926,50.00088459565133,0.0,50.00088459565133,0.0,98.780142596819,93.58180881376136,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,0.8067512340109335,0.0,95.79817065619304,72.80275027292056,99.97700051306548,100.0,99.9971473310806,99.99999608331058,58.57176893453472,75.86483757043051,100.0,True,71.4,10,14,30.8,3,ghsl_change,ntl_growth_log,ndbi_growth,Construction Boom
8703128561,Akrabad,Uttar Pradesh,Aligarh,,27.8203629,78.2441062,1.9078768,1.8490962,1.6855088,2.244836,3.0167725,5.214962,0.5885080575942994,1.0,1.0,0.0,12.46254,,,-0.14564729,0.051815584,,,,,,0.30618396,0.28291225,,,,,,0.0,0.0,20.59,140.49,779.0,4797.0,4018.0,,,173.3385090693487,5.160998863690425,0.197462874,-0.02327171,,2023.0,0.0847290199999999,2.1981895,2.11346048,82.29216425172054,66.27626595452816,82.11170673884968,16.18290249958565,76.16191638801904,14.819375890699328,3.1226226491870563,90.5172565184996,50.00088459565133,0.0,50.00088459565133,0.0,99.56654813084938,100.0,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,95.83001609964086,62.96963718913917,21.025069440758628,11.379669175620378,66.46763264511792,29.465474418071985,99.99715117736793,99.9999999297097,53.11057326312905,73.9556730403977,99.00497512437812,True,71.4,10,14,45.6,4,ndbi_growth,ghsl_change,ntl_growth_log,Construction Boom
8891960413,Jalali,Uttar Pradesh,Aligarh,,27.8871081,78.239822,1.6692153,1.3608637,1.2998577,1.8840035,2.7596946,4.127693,0.4878007922853742,1.0,1.0,0.0,8.444741,,,-0.07672728,0.13025156,,,,,,0.2585431,0.25227982,,,,,,0.0,0.0,18.47,135.28,1066.0,5329.0,4263.0,,,147.28343911058084,4.999125571367905,0.20697884,-0.00626328,,2022.0,-0.1846788,1.12184475,1.30652355,73.32413353855952,60.61533427045875,74.42633972011393,12.074707562873243,64.54009872087468,10.18970032903102,3.140314562213612,92.47673652027456,50.00088459565133,0.0,50.00088459565133,0.0,99.6850839481273,100.0,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,90.8603577304814,50.74008080235015,17.582223165790918,9.687881051334598,64.61971232949418,28.300097345892866,99.99715117736793,99.9999999297097,55.17487100693256,72.46945783851855,98.50746268656717,True,71.4,10,14,48.8,5,ndbi_growth,ghsl_change,ntl_growth_log,Construction Boom
7098764532,Bhanpur,Uttar Pradesh,Siddharth Nagar,,27.0244952,82.6626134,2.1018417,2.085385,4.729731,10.165206,13.389796,13.271529,2.71991845539638,1.0,1.0,0.0,13.700241,,,,,,,,,,,,,,,,,0.0,0.0,58.97,150.56,1112.0,5221.0,4109.0,,,531.4238127447942,6.277439812689762,,,,2022.0,1.31394465,1.5531615,0.2392168499999998,99.34186083541212,100.0,99.07117456610584,100.0,95.59117527378235,49.12486179238817,51.616156254975856,0.0,50.00088459565133,0.0,50.00088459565133,0.0,99.61431629602107,100.0,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,47.06225784194045,34.564482704927926,75.88769173610743,42.00741833132235,69.95028572439537,31.717940275431623,99.9971473310806,99.99999608331058,94.40908242048847,69.720453533521,100.0,True,71.4,10,14,54.7,6,ghsl_change,ndbi_growth,ntl_growth_log,Construction Boom
8125936776,Itwa,Uttar Pradesh,Siddharth Nagar,,27.3296852,82.6859808,0.75036407,0.63423663,1.1763362,3.1185312,3.9566553,4.6345778,0.8951576965195792,1.0,1.0,0.0,11.20543,,,,,,,,,,,,,,,,,0.0,0.0,74.99,177.17,649.0,3858.0,3209.0,,,517.6438858539694,6.2512174932302536,,,,2022.0,0.2129860649999999,0.7580232999999998,0.5450372349999999,99.27816994851652,100.0,91.47957468641084,28.692193563274937,70.73757585407711,12.34805504266778,51.616156254975856,0.0,50.00088459565133,0.0,50.00088459565133,0.0,98.990676361835,99.6033248701029,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,69.27799302938627,39.19935254858105,87.0070590732976,54.79159085540639,76.80855580913965,37.67008689552496,99.9971473310806,99.99999608331058,89.60403554176969,69.4206999201005,99.6951219512195,True,71.4,10,14,59.1,7,ghsl_change,ndbi_growth,ntl_growth_log,Construction Boom
9045230331,Mihinpurwa,Uttar Pradesh,Bahraich,,28.0168323,81.3954734,1.2805418,0.99372286,1.3802367,1.7285267,5.3539476,7.93737,1.334660129887717,1.0,1.0,0.0,9.888069,,,,,,,,,,,,,,,,,0.0,0.0,22.98,319.12,734.0,3962.0,3228.0,,,519.8446626263976,6.255451844948554,,,,2023.0,0.173046854,2.5834224,2.410375546,99.2870159050298,100.0,95.7203262388762,46.62100600691648,88.75502008032129,26.41159988171745,51.616156254975856,0.0,50.00088459565133,0.0,50.00088459565133,0.0,99.0030607009536,100.0,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,96.6880738814288,67.46954220864818,25.03494152822745,13.28692088177274,94.9206517700759,69.42157929395597,99.9971473310806,99.99999608331058,87.21299212732563,69.36064901886286,100.0,True,71.4,10,14,47.3,8,ghsl_change,ndbi_growth,ntl_growth_log,Construction Boom
8824852343,Village_8824852343,Uttar Pradesh,Aligarh,,27.950008,78.0750808,6.365284,5.5240026,5.840204,8.2616005,9.925597,16.61573,1.91081177847726,1.0,1.0,0.0,37.24682,,,-0.061516702,0.087386936,,,,,,0.17683804,0.2771774,,,,,,0.0,0.0,6.39,117.99,1032.0,6192.0,5160.0,,,161.0367424297172,5.087823114637702,0.148903638,0.10033936,,2023.0,0.60051509,6.690132999999999,6.089617909999999,78.52201758576155,63.71720935924544,97.84335580206287,70.1242088617784,97.19406259398828,63.3647285070712,2.998779258001168,80.51818213724708,50.00088459565133,0.0,50.00088459565133,0.0,99.93719370875571,100.0,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,99.4427047396635,100.0,2.0478389328238062,0.0478807959703519,58.42488898324576,24.43265596816217,99.99715117736793,99.9999999297097,18.072111537877944,69.30826526953567,97.51243781094529,True,71.4,10,14,35.1,9,ndbi_growth,ghsl_change,ntl_growth_log,Construction Boom
8128089592,Village_8128089592,Uttar Pradesh,Siddharth Nagar,,27.1685661,82.5056076,0.7102796,0.0,0.69368225,0.91214764,1.9655086,3.7234466,0.6051664641925266,1.0,1.0,0.0,7.01707,,,,,,,,,,,,,,,,,0.0,0.0,57.78,173.1,930.0,5285.0,4355.0,,,424.222658232054,6.052612933458303,,,,2023.0,0.1299286369999999,1.757938,1.628009363,98.77218123595704,97.45723636102709,82.9980715814801,16.86245606933658,58.248854448631526,8.468387867282924,51.616156254975856,0.0,50.00088459565133,0.0,50.00088459565133,0.0,99.71516020027244,100.0,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,93.64506484086124,55.61236850101356,74.75275551545388,41.05778254457703,75.82753923181713,36.75970595814127,99.9971473310806,99.99999608331058,92.13746015147832,68.71690514642998,98.47560975609755,True,71.4,10,14,58.9,10,ghsl_change,ndbi_growth,ntl_growth_log,Construction Boom
8130691420,Village_8130691420,Uttar Pradesh,Siddharth Nagar,,27.0778509,82.8384161,0.93763465,1.0015581,4.140518,4.6515965,4.7459493,5.2627916,0.953429625715528,1.0,1.0,0.0,10.09315,,,,,,,,,,,,,,,,,0.0,0.0,66.37,145.16,798.0,4290.0,3492.0,,,461.2838220089243,6.136179035808904,,,,2021.0,0.0639234499999999,0.3461173599999999,0.2821939099999999,99.03579074005272,100.0,92.31994055517222,31.069305519804697,76.55113847460326,15.02303802973242,51.616156254975856,0.0,50.00088459565133,0.0,50.00088459565133,0.0,99.21713284857492,100.0,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,50.26803248235232,35.21582280236084,81.9117881216496,47.91271650099913,68.20851688693098,30.51006384745326,99.9971473310806,99.99999608331058,69.92403440527171,68.49620113276016,98.17073170731707,True,71.4,10,14,58.9,11,ghsl_change,ndbi_growth,ntl_growth_log,Construction Boom
8130691513,Village_8130691513,Uttar Pradesh,Siddharth Nagar,,27.1167433,82.896223,0.69919753,0.6533544,1.8747796,3.302395,4.3735228,4.159848,0.8540392569133213,1.0,1.0,0.0,13.2587,,,,,,,,,,,,,,,,,0.0,0.0,64.15,145.96,704.0,4398.0,3694.0,,,494.9460376383195,6.20646712572228,,,,2022.0,0.5877910350000001,0.4287265,-0.159064535,99.18263361817311,100.0,90.73474514799284,27.01483131063344,64.94347433788016,10.326618807977304,51.616156254975856,0.0,50.00088459565133,0.0,50.00088459565133,0.0,99.36132193974134,100.0,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,24.108769881287262,28.528317455103583,80.35932275356934,46.141127050096095,68.47566477363198,30.68900850345006,99.9971473310806,99.99999608331058,68.94347130612036,68.4471729778026,97.86585365853658,True,71.4,10,14,54.9,12,ghsl_change,ndbi_growth,ntl_growth_log,Construction Boom
