pc11_village_id,village_name,state_name,district_name,subdistrict_name,latitude,longitude,ntl_2019,ntl_2020,ntl_2021,ntl_2022,ntl_2023,ntl_2024,ntl_trend_slope,built_2020,built_2021,builtup_change,pop_2019,pop_2020,pop_growth_rate,ndbi_2019,ndbi_2024,ndbi_2020,ndbi_2021,ndbi_2022,ndbi_2023,ndbi_trend_slope,ndvi_2019,ndvi_2024,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_trend_slope,tower_density_2024,tower_growth,dist_city_km,dist_highway_km,ghsl_2015,ghsl_2020,ghsl_change,s1_vv_2024,ntl_growth_pct,ntl_growth_log,ndbi_growth,ndvi_growth,s1_vv_delta,ntl_breakpoint_year,ntl_pre_slope,ntl_post_slope,ntl_acceleration,ntl_growth_log_pct,ntl_growth_log_score,ntl_trend_slope_pct,ntl_trend_slope_score,ntl_2024_pct,ntl_2024_score,ndbi_growth_pct,ndbi_growth_score,ndbi_trend_slope_pct,ndbi_trend_slope_score,ndvi_trend_slope_pct,ndvi_trend_slope_score,ghsl_change_pct,ghsl_change_score,s1_vv_delta_pct,s1_vv_delta_score,tower_growth_pct,tower_growth_score,pop_growth_rate_pct,pop_growth_rate_score,builtup_change_pct,builtup_change_score,ntl_acceleration_pct,ntl_acceleration_score,dist_city_km_pct,dist_city_km_score,dist_highway_km_pct,dist_highway_km_score,ml_growth_prob,ml_growth_prob_score,spatial_lag_score,composite_score,district_rank_pct,multi_signal_confirmed,confidence_score,signals_active,signals_attempted,inter_signal_agreement,rank,shap_top1,shap_top2,shap_top3,archetype_name
7200201165,Manjiwala,Rajasthan,Barmer,,25.7784455,72.2440338,0.88628674,0.75759196,5.2401233,3.9129553,8.808753,6.706969,1.4837064402444022,1.0,1.0,0.0,4.348036,,,0.05423129,0.02819239,,,,,,0.2120641,0.26015857,,,,,,0.0,0.0,97.56,544.71,643.0,3658.0,4.6844124474340685,,656.7493337427118,6.4888239069859655,-0.0260389,0.0480944699999999,,2023.0,1.356253702,-2.1017839999999994,-3.4580377019999995,99.63908497425828,100.0,96.46338658599154,52.70111647029467,84.7424942058985,21.17245718496785,1.0968986076464449,44.494891945714926,50.00088459565133,0.0,50.00088459565133,0.0,99.02871397484208,100.0,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,0.8067512340109335,0.0,95.79817065619304,72.80275027292056,99.97700051306548,100.0,99.9972671506747,99.99766548101304,58.57176893453472,71.82721665802167,100.0,True,71.4,10,14,30.7,1,ghsl_change,ntl_growth_log,ndbi_growth,Remote Village Emergence
8735721831,Koil,Uttar Pradesh,Aligarh,,27.8273634,78.2175302,3.4234507,2.7429042,2.6260152,3.3447466,11.458335,16.395496,2.620721483230591,1.0,1.0,0.0,13.395564,,,-0.09486552,0.05219439,,,,,,0.20779525,0.31758067,,,,,,0.0,0.0,17.79,137.96,1900.0,4719.0,1.9930247575514248,,378.9172515322041,5.939953469881692,0.14705991,0.10978542,,2023.0,-0.0353001299999999,4.9371610000000015,4.972461130000001,98.34934451462236,93.51737996025396,98.97209985315712,99.08386182866484,97.09321868973691,62.426955087937166,2.98993330148789,80.13853091269326,50.00088459565133,0.0,50.00088459565133,0.0,96.2900058383313,49.69782549086453,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,99.14548060081736,100.0,16.515400810289616,9.145232030337274,65.552960741645,28.899561943482126,99.9972671936391,99.99766552397764,53.91108994549335,69.23279832011583,100.0,True,71.4,10,14,36.5,2,ghsl_change,ndbi_growth,ntl_growth_log,NTL Breakout
13133054697,Kutaganahalli,Karnataka,Bangalore,,12.8935255,77.7983308,2.893396,3.3528538,4.3170347,5.189554,6.1101665,10.864894,1.4000556537083215,1.0,1.0,0.0,6.9442472,,,,,,,,,,,,,,,,,0.0381971863420548,0.0133690152197192,26.13,17.68,828.0,4454.0,12.662451181910896,,275.50663649220496,5.622234822454478,,,,2023.0,0.78526549,4.7547275,3.96946201,95.7840171257718,82.40632184785791,96.06531854289403,49.28871383335125,93.56191284963644,38.87722367766624,51.616156254975856,0.0,50.00088459565133,0.0,50.00088459565133,0.0,99.948693452223,100.0,50.00088459565133,0.0,98.8022574881022,100.0,50.00088459565133,0.0,46.17412380800736,0.0,98.68726005342958,91.0983229900254,30.414167683951664,15.800662670216232,6.156785733241335,1.9952329143642455,99.9972671506747,99.99766548101304,80.02199620113122,68.72264618656588,100.0,True,71.4,10,14,38.4,3,ghsl_change,ndbi_growth,ntl_growth_log,NTL Breakout
8703128561,Akrabad,Uttar Pradesh,Aligarh,,27.8203629,78.2441062,1.9078768,1.8490962,1.6855088,2.244836,3.0167725,5.214962,0.5885080575942994,1.0,1.0,0.0,12.46254,,,-0.14564729,0.051815584,,,,,,0.30618396,0.28291225,,,,,,0.0,0.0,20.59,140.49,779.0,4797.0,3.083937496092256,,173.3385090693487,5.160998863690425,0.197462874,-0.02327171,,2023.0,0.0847290199999999,2.1981895,2.11346048,82.29216425172054,66.27626595452816,82.11170673884968,16.18290249958565,76.16191638801904,14.819375890699328,3.1226226491870563,90.5172565184996,50.00088459565133,0.0,50.00088459565133,0.0,97.97604514976204,70.83570869893354,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,95.83001609964086,62.96963718913917,21.025069440758628,11.379669175620378,66.46763264511792,29.465474418071985,99.99726707950236,99.99766540984038,53.11057326312905,66.26686586953092,99.00497512437812,True,71.4,10,14,45.9,4,ndbi_growth,ghsl_change,ntl_growth_log,Urban Fringe Expansion
245628684,Hanagal,Karnataka,Chitradurga,,14.7383723,76.7039857,2.5552914,2.7735722,9.229102,16.254704,16.903667,14.308943,3.090975543430873,1.0,1.0,0.0,7.5275283,,,,,,,,,,,,,,,,,0.0127323954473516,0.004456338406573,50.56,92.02,446.0,3542.0,10.7775540095681,,459.9730426048473,6.133339565375471,,,,2022.0,3.3369053,-0.9728805000000004,-4.3097858,99.0251755922368,100.0,99.3436300267148,100.0,96.1626240645401,53.542250905048014,51.616156254975856,0.0,50.00088459565133,0.0,50.00088459565133,0.0,99.90623286095924,100.0,50.00088459565133,0.0,95.11703200467066,33.33333333333284,50.00088459565133,0.0,46.17412380800736,0.0,0.5289881994940113,0.0,66.93292995771633,35.29612676281131,46.900376837747466,18.623665072866263,99.9972671506747,99.99766548101304,58.28760416065943,66.2473633635182,100.0,True,71.4,10,14,40.9,5,ghsl_change,ndbi_growth,ntl_growth_log,Market Corridor Growth
8891960413,Jalali,Uttar Pradesh,Aligarh,,27.8871081,78.239822,1.6692153,1.3608637,1.2998577,1.8840035,2.7596946,4.127693,0.4878007922853742,1.0,1.0,0.0,8.444741,,,-0.07672728,0.13025156,,,,,,0.2585431,0.25227982,,,,,,0.0,0.0,18.47,135.28,1066.0,5329.0,3.306851275026788,,147.28343911058084,4.999125571367905,0.20697884,-0.00626328,,2022.0,-0.1846788,1.12184475,1.30652355,73.32413353855952,60.61533427045875,74.42633972011393,12.074707562873243,64.54009872087468,10.18970032903102,3.140314562213612,92.47673652027456,50.00088459565133,0.0,50.00088459565133,0.0,98.2166551669232,75.15495922935634,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,90.8603577304814,50.74008080235015,17.582223165790918,9.687881051334598,64.61971232949418,28.300097345892866,99.99726707950236,99.99766540984038,55.17487100693256,65.71158483141868,98.50746268656717,True,71.4,10,14,49.2,6,ndbi_growth,ghsl_change,ntl_growth_log,Urban Fringe Expansion
12172321394,Valagere Kallahalli,Karnataka,Bangalore,,12.8892689,77.773869,4.29197,3.930335,9.858208,11.098638,13.740281,18.812405,2.950641209738595,1.0,1.0,0.0,8.205784,,,,,,,,,,,,,,,,,0.0381971863420548,0.0133690152197192,23.96,15.67,980.0,1879.0,2.964121768743351,,338.31632094352943,5.826932772441551,,,,2021.0,-0.3616350000000001,2.9504234,3.3120584,97.76728057604868,89.56489071440754,99.2516320789767,100.0,97.930046175893,72.71834068991438,51.616156254975856,0.0,50.00088459565133,0.0,50.00088459565133,0.0,97.84335580206287,68.51411984795122,50.00088459565133,0.0,98.8022574881022,100.0,50.00088459565133,0.0,46.17412380800736,0.0,98.09988854094792,81.13502323452447,26.75724926136263,14.06897388262183,5.020964916936468,1.5456344661723025,99.9972671506747,99.99766548101304,69.6538632777759,65.6289281775557,99.73821989528795,True,71.4,10,14,36.4,7,ghsl_change,ndbi_growth,ntl_growth_log,Market Corridor Growth
8824852343,Koil,Uttar Pradesh,Aligarh,,27.950008,78.0750808,6.365284,5.5240026,5.840204,8.2616005,9.925597,16.61573,1.91081177847726,1.0,1.0,0.0,37.24682,,,-0.061516702,0.087386936,,,,,,0.17683804,0.2771774,,,,,,0.0,0.0,6.39,117.99,1032.0,6192.0,4.1229886615748494,,161.0367424297172,5.087823114637702,0.148903638,0.10033936,,2023.0,0.60051509,6.690132999999999,6.089617909999999,78.52201758576155,63.71720935924544,97.84335580206287,70.1242088617784,97.19406259398828,63.3647285070712,2.998779258001168,80.51818213724708,50.00088459565133,0.0,50.00088459565133,0.0,98.76245068379244,90.9687050489042,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,99.4427047396635,100.0,2.0478389328238062,0.0478807959703519,58.42488898324576,24.43265596816217,99.99726707950236,99.99766540984038,18.072111537877944,64.76736038092864,98.0099502487562,True,71.4,10,14,35.3,8,ndbi_growth,ghsl_change,ntl_growth_log,NTL Breakout
5645738559,Govindapuram,Telangana,Khammam,,16.9852497,80.2976821,0.56867605,0.6413426,0.6105829,1.1632564,2.3634965,2.22013,0.3993258561406816,0.0,0.0,0.0,1.7940098,,,0.0364094,0.02115841,,,,,,0.39835262,0.3809669,,,,,,0.0254647908947032,0.0089126768131461,35.67,167.2,1716.0,2221.0,1.3156411703793456,,290.403288480322,5.674708178804916,-0.01525099,-0.0173857199999999,,2023.0,0.175298135,-0.1433664999999999,-0.318664635,96.42977195124108,84.24138729486083,62.8275215399041,8.465511308952456,17.525609044105938,2.0671494207988568,1.3286626682943228,46.7162842779225,50.00088459565133,0.0,50.00088459565133,0.0,94.50931479220849,36.57261882047754,50.00088459565133,0.0,97.81770252817437,66.66666666666643,50.00088459565133,0.0,46.17412380800736,0.0,18.227977991260197,26.109493443309795,46.77211046830494,23.41370922950224,74.35291828105373,35.43998912016492,99.9972671506747,99.99766548101304,57.00251973221072,64.6180083425435,100.0,True,71.4,10,14,40.7,9,ghsl_change,ntl_growth_log,ndbi_growth,Steady Grower
9527968732,Jangīpur,Jharkhand,Garhwa,,24.2808365,83.5141475,1.1348698,1.9014077,3.3374453,4.4459143,6.198625,8.158353,1.4033581801823207,1.0,1.0,0.0,8.923804,,,,,,,,,,,,,,,,,0.0,0.0,104.1,99.57,995.0,4006.0,5.896225909469682,,618.8800865086022,6.429526050476139,,,,2023.0,1.1369171100000002,1.959728,0.82281089,99.57539408736268,100.0,96.0830104559206,49.42343522110041,89.26277798418343,27.35256260082758,51.616156254975856,0.0,50.00088459565133,0.0,50.00088459565133,0.0,99.38962900058384,100.0,50.00088459565133,0.0,46.56776887284822,0.0,50.00088459565133,0.0,46.17412380800736,0.0,81.33326256568122,43.40915935044223,97.0065283159068,78.02175703368894,50.29014737363551,20.312455263836,99.9972671506747,99.99766548101304,84.50252809083294,64.22477622669359,100.0,True,71.4,10,14,53.4,10,ghsl_change,ndbi_growth,ntl_growth_log,Remote Village Emergence
